주상병코드,진료년도,가입자구분,성별,연령,진료실인원(명),진료건수(건),총진료비(천원)
F00-F09,2017년,직장,남자,5-9세,148,407,18230
F00-F09,2017년,직장,남자,10-14세,166,430,78990
F00-F09,2017년,직장,남자,15-19세,243,668,117991
F00-F09,2017년,직장,남자,20-24세,367,1322,239548
F00-F09,2017년,직장,남자,25-29세,394,1400,313737
F00-F09,2017년,직장,남자,30-34세,396,1370,223435
F00-F09,2017년,직장,남자,35-39세,523,1943,319782
F00-F09,2017년,직장,남자,40-44세,588,1890,301153
F00-F09,2017년,직장,남자,45-49세,988,3153,618680
F00-F09,2017년,직장,남자,50-54세,1654,5439,1649209
F00-F09,2017년,직장,남자,55-59세,4032,14136,4975276
F00-F09,2017년,직장,남자,60-64세,7212,27828,10196738
F00-F09,2017년,직장,남자,65세 이상,126896,658575,264368488
F00-F09,2017년,직장,여자,0-4세,206,240,7926
F00-F09,2017년,직장,여자,5-9세,86,213,16755
F00-F09,2017년,직장,여자,10-14세,61,356,14098
F00-F09,2017년,직장,여자,15-19세,141,403,62666
F00-F09,2017년,직장,여자,20-24세,236,703,116064
F00-F09,2017년,직장,여자,25-29세,287,845,197633
F00-F09,2017년,직장,여자,30-34세,300,904,103803
F00-F09,2017년,직장,여자,35-39세,452,1305,244898
F00-F09,2017년,직장,여자,40-44세,639,1613,185000
F00-F09,2017년,직장,여자,45-49세,1400,3336,401199
F00-F09,2017년,직장,여자,50-54세,3419,8619,977513
F00-F09,2017년,직장,여자,55-59세,8571,24433,2644364
F00-F09,2017년,직장,여자,60-64세,13834,44752,5536689
F00-F09,2017년,직장,여자,65세 이상,294757,1701252,916208754
F00-F09,2018년,지역,남자,0-4세,46,60,1285
F00-F09,2018년,지역,남자,5-9세,28,41,2780
F00-F09,2018년,지역,남자,10-14세,35,52,4276
F00-F09,2018년,지역,남자,15-19세,93,465,109144
F00-F09,2018년,지역,남자,20-24세,172,808,123465
F00-F09,2018년,지역,남자,25-29세,169,874,201754
F00-F09,2018년,지역,남자,30-34세,238,1014,331378
F00-F09,2018년,지역,남자,35-39세,340,1470,443520
F00-F09,2018년,지역,남자,40-44세,479,1927,726536
F00-F09,2018년,지역,남자,45-49세,787,2921,1337885
F00-F09,2018년,지역,남자,50-54세,1363,4825,2468104
F00-F09,2018년,지역,남자,55-59세,2821,9935,4946837
F00-F09,2018년,지역,남자,60-64세,4878,17910,8555585
F00-F09,2018년,지역,남자,65세 이상,61527,298186,123364668
F00-F09,2018년,지역,여자,0-4세,31,32,2022
F00-F09,2018년,지역,여자,5-9세,21,40,3948
F00-F09,2018년,지역,여자,10-14세,22,51,3883
F00-F09,2018년,지역,여자,15-19세,45,140,33740
F00-F09,2018년,지역,여자,20-24세,93,331,132442
F00-F09,2018년,지역,여자,25-29세,125,385,121554
F00-F09,2018년,지역,여자,30-34세,171,603,161720
F00-F09,2018년,지역,여자,35-39세,263,798,192801
F00-F09,2018년,지역,여자,40-44세,363,1096,159193
