연도,지역코드,지역명,주민등록인구,추계중증정신질환자수,정신건강복지센터 등록  중증정신질환자수,추계중증정신질환자수 대비 정신건강복지센터 등록 중증정신질환자
2010,D16,강서구,452318,4523,644,14.2
2010,D17,구로구,338002,3380,506,15.0
2010,D18,금천구,197355,1974,204,10.3
2010,D19,영등포구,328638,3286,598,18.2
2010,D20,동작구,326199,3262,477,14.6
2010,D21,관악구,441153,4412,425,9.6
2010,D22,서초구,340521,3405,349,10.2
2010,D23,강남구,447975,4480,808,18.0
2010,D24,송파구,534936,5349,648,12.1
2010,D25,강동구,387286,3873,547,14.1
2009,C01,서울시,8050715,80507,12092,15.0
2009,D01,종로구,136092,1361,252,18.5
2009,D02,중구,106485,1065,401,37.7
2009,D03,용산구,193917,1939,0,0.0
2009,D04,성동구,245596,2456,478,19.5
2009,D05,광진구,296236,2962,478,16.1
2009,D06,동대문구,292223,2922,161,5.5
2009,D07,중랑구,337309,3373,596,17.7
2009,D08,성북구,377217,3772,839,22.2
2009,D09,강북구,273344,2733,639,23.4
2009,D10,도봉구,288541,2885,830,28.8
2009,D11,노원구,460467,4605,1283,27.9
2009,D12,은평구,366330,3663,299,8.2
2009,D13,서대문구,261354,2614,752,28.8
2009,D14,마포구,307486,3075,316,10.3
2009,D15,양천구,374989,3750,142,3.8
2009,D16,강서구,446648,4466,944,21.1
2009,D17,구로구,334193,3342,512,15.3
2009,D18,금천구,194230,1942,107,5.5
2009,D19,영등포구,324603,3246,551,17.0
2009,D20,동작구,319917,3199,399,12.5
2009,D21,관악구,436005,4360,227,5.2
2009,D22,서초구,331585,3316,260,7.8
2009,D23,강남구,439906,4399,704,16.0
2009,D24,송파구,528056,5281,437,8.3
2009,D25,강동구,377986,3780,485,12.8
